PV,MV,BO,TP,MO,TP_O
1,0,1,464,36,550
1,0,1,501,133,550
1,0,1,478,33,550
1,0,1,470,34,550
1,0,1,503,30,550
1,0,1,493,30,550
1,0,1,474,31,550
1,0,1,498,119,550
1,0,0,611,34,550
1,0,0,959,38,550
1,0,0,948,35,550
1,0,0,945,34,550
1,0,0,948,34,550
1,0,0,950,34,550
1,0,0,950,32,550
1,0,0,950,31,550
1,0,0,951,31,550
1,0,0,954,31,550
1,0,0,953,30,550
1,0,0,954,30,550
1,0,0,953,29,550
1,0,0,958,28,550
1,0,0,964,28,550
1,0,0,963,29,550
1,0,0,960,28,550
1,0,0,959,27,550
1,0,0,956,26,550
1,0,0,959,26,550
1,0,0,957,26,550
1,0,0,953,26,550
1,0,0,952,24,550
1,0,0,953,24,550
1,0,0,952,24,550
1,0,0,951,24,550
1,0,0,952,24,550
1,0,0,958,23,550
1,0,0,959,23,550
1,0,0,961,23,550
1,0,0,960,23,550
1,0,0,964,24,550
1,0,0,965,22,550
1,0,0,961,23,550
1,0,0,963,23,550
1,0,0,965,22,550
1,0,0,969,41,550
1,0,0,970,50,550
1,0,0,973,57,550
1,0,1,974,49,550
1,0,0,631,62,550
1,0,0,993,70,550
1,0,0,971,70,550
1,0,0,969,71,550
1,0,1,977,74,550
1,0,1,501,70,550
1,0,1,482,79,550
1,0,1,520,80,550
1,0,1,508,87,550
1,0,1,513,209,550
1,0,1,528,96,550
1,0,1,480,102,550
1,0,1,524,106,550
1,0,1,481,113,550
1,0,1,504,115,550
1,0,1,478,122,550
1,0,1,526,124,550
1,0,1,481,130,550
1,0,1,511,237,550
1,0,1,480,137,550
1,0,0,662,148,550
1,0,0,989,146,550
1,0,0,979,145,550
1,0,0,972,144,550
1,0,1,969,138,550
1,0,1,512,146,550
1,0,1,510,153,550
1,0,1,492,161,550
1,0,1,527,162,550
1,0,1,509,169,550
1,0,1,527,171,550
1,0,1,516,177,550
1,0,1,502,186,550
1,0,1,517,187,550
1,0,1,533,298,550
1,0,1,526,196,550
1,0,1,485,201,550
1,0,1,530,201,550
1,0,1,512,223,550
1,0,1,487,211,550
1,0,0,669,221,550
1,0,0,989,215,550
1,0,0,980,214,550
1,0,0,977,213,550
1,0,1,971,209,550
1,0,1,519,217,550
1,0,1,518,224,550
1,0,1,499,231,550
1,0,1,539,233,550
1,0,1,519,240,550
1,0,1,532,242,550
1,0,1,524,247,550
1,0,1,499,253,550
1,0,1,537,254,550
1,0,1,517,261,550
1,0,1,536,262,550
1,0,1,524,266,550
1,0,1,500,274,550
1,0,1,539,273,550
1,0,1,502,279,550
1,0,0,685,288,550
1,0,0,992,281,550
1,0,0,980,280,550
1,0,0,979,279,550
1,0,1,977,276,550
1,0,1,532,282,550
1,0,1,496,290,550
1,0,1,522,312,550
1,0,1,547,298,550
1,0,1,537,307,550
1,0,1,548,307,550
1,0,1,500,312,550
1,0,1,523,332,550
1,0,1,549,318,550
1,0,1,538,325,550
1,0,1,548,326,550
1,0,1,502,332,550
1,0,1,527,351,550
1,0,1,550,337,550
1,0,1,527,344,550
1,0,0,659,350,550
1,0,0,995,344,550
1,0,0,985,342,550
1,0,0,979,341,550
1,0,1,979,340,550
1,0,1,533,346,550
1,0,1,501,354,550
1,0,1,547,355,550
1,0,1,533,362,550
1,0,1,554,469,550
1,0,1,549,370,550
1,0,1,504,376,550
1,0,1,550,376,550
1,0,1,539,381,550
1,0,1,556,488,550
1,0,1,546,388,550
1,0,1,506,394,550
1,0,1,550,393,550
1,0,1,538,398,550
