Sample,Time,Current
4,2025-11-23 21:48:09.523,0.0
4,2025-11-23 21:48:09.528,0.0
4,2025-11-23 21:48:09.533,0.0
4,2025-11-23 21:48:09.538,0.0
4,2025-11-23 21:48:09.543,0.0
5,2025-11-23 21:48:09.754,0.0
5,2025-11-23 21:48:09.760,0.0
5,2025-11-23 21:48:09.766,0.0
5,2025-11-23 21:48:09.771,0.0
5,2025-11-23 21:48:09.776,0.0
5,2025-11-23 21:48:09.781,0.0
5,2025-11-23 21:48:09.786,0.0
5,2025-11-23 21:48:09.791,0.0
5,2025-11-23 21:48:09.796,0.0
5,2025-11-23 21:48:09.801,0.0
6,2025-11-23 21:48:10.011,0.0
6,2025-11-23 21:48:10.016,0.0
6,2025-11-23 21:48:10.021,0.0
6,2025-11-23 21:48:10.027,0.0
6,2025-11-23 21:48:10.033,0.0
6,2025-11-23 21:48:10.038,0.0
6,2025-11-23 21:48:10.043,0.0
6,2025-11-23 21:48:10.048,0.0
6,2025-11-23 21:48:10.052,0.0
6,2025-11-23 21:48:10.081,0.0
7,2025-11-23 21:48:10.311,0.0
7,2025-11-23 21:48:10.316,0.0
7,2025-11-23 21:48:10.321,0.0
7,2025-11-23 21:48:10.329,0.0
7,2025-11-23 21:48:10.335,0.0
7,2025-11-23 21:48:10.341,0.0
7,2025-11-23 21:48:10.346,0.0
7,2025-11-23 21:48:10.351,0.0
7,2025-11-23 21:48:10.356,0.0
7,2025-11-23 21:48:10.361,0.0
8,2025-11-23 21:48:10.590,0.0
8,2025-11-23 21:48:10.596,0.0
8,2025-11-23 21:48:10.602,0.0
8,2025-11-23 21:48:10.608,0.0
8,2025-11-23 21:48:10.613,0.0
8,2025-11-23 21:48:10.618,0.0
8,2025-11-23 21:48:10.623,0.0
8,2025-11-23 21:48:10.628,0.0
8,2025-11-23 21:48:10.633,0.0
8,2025-11-23 21:48:10.638,0.0
9,2025-11-23 21:48:10.861,0.0
9,2025-11-23 21:48:10.866,0.0
9,2025-11-23 21:48:10.871,0.0
9,2025-11-23 21:48:10.876,0.0
9,2025-11-23 21:48:10.881,0.0
9,2025-11-23 21:48:10.886,0.0
9,2025-11-23 21:48:10.891,0.0
9,2025-11-23 21:48:10.896,0.0
9,2025-11-23 21:48:10.901,0.0
9,2025-11-23 21:48:10.906,0.0
10,2025-11-23 21:48:11.117,0.0
10,2025-11-23 21:48:11.122,0.0
10,2025-11-23 21:48:11.127,0.0
10,2025-11-23 21:48:11.132,0.0
10,2025-11-23 21:48:11.137,0.0
10,2025-11-23 21:48:11.142,0.0
10,2025-11-23 21:48:11.147,0.0
10,2025-11-23 21:48:11.152,0.0
10,2025-11-23 21:48:11.157,0.0
10,2025-11-23 21:48:11.162,0.0
11,2025-11-23 21:48:11.376,0.0
11,2025-11-23 21:48:11.381,0.0
11,2025-11-23 21:48:11.386,0.0
11,2025-11-23 21:48:11.391,0.0
11,2025-11-23 21:48:11.396,0.0
11,2025-11-23 21:48:11.401,0.0
11,2025-11-23 21:48:11.406,0.0
11,2025-11-23 21:48:11.411,0.0
11,2025-11-23 21:48:11.416,0.0
11,2025-11-23 21:48:11.421,0.0
12,2025-11-23 21:48:11.652,0.0
12,2025-11-23 21:48:11.657,0.0
12,2025-11-23 21:48:11.662,0.0
12,2025-11-23 21:48:11.667,0.0
12,2025-11-23 21:48:11.672,0.0
12,2025-11-23 21:48:11.677,0.0
12,2025-11-23 21:48:11.682,0.0
12,2025-11-23 21:48:11.687,0.0
12,2025-11-23 21:48:11.692,0.0
12,2025-11-23 21:48:11.697,0.0
13,2025-11-23 21:48:11.927,0.0
13,2025-11-23 21:48:11.933,0.0
13,2025-11-23 21:48:11.938,0.0
13,2025-11-23 21:48:11.943,0.0
13,2025-11-23 21:48:11.948,0.0
13,2025-11-23 21:48:11.953,0.0
13,2025-11-23 21:48:11.958,0.0
13,2025-11-23 21:48:11.963,0.0
13,2025-11-23 21:48:11.968,0.0
13,2025-11-23 21:48:11.973,0.0
14,2025-11-23 21:48:12.183,0.0
14,2025-11-23 21:48:12.188,0.0
14,2025-11-23 21:48:12.193,0.0
14,2025-11-23 21:48:12.198,0.0
14,2025-11-23 21:48:12.203,0.0
14,2025-11-23 21:48:12.208,0.0
14,2025-11-23 21:48:12.213,0.0
14,2025-11-23 21:48:12.218,0.0
14,2025-11-23 21:48:12.223,0.0
14,2025-11-23 21:48:12.228,0.0
15,2025-11-23 21:48:12.438,0.0
15,2025-11-23 21:48:12.443,0.0
15,2025-11-23 21:48:12.448,0.0
15,2025-11-23 21:48:12.453,0.0
15,2025-11-23 21:48:12.458,0.0
15,2025-11-23 21:48:12.463,0.0
15,2025-11-23 21:48:12.468,0.0
15,2025-11-23 21:48:12.497,0.0
15,2025-11-23 21:48:12.503,0.0
15,2025-11-23 21:48:12.509,0.0
16,2025-11-23 21:48:12.741,0.0
16,2025-11-23 21:48:12.746,0.0
16,2025-11-23 21:48:12.751,0.0
16,2025-11-23 21:48:12.756,0.0
16,2025-11-23 21:48:12.761,0.0
16,2025-11-23 21:48:12.766,0.0
16,2025-11-23 21:48:12.771,0.0
16,2025-11-23 21:48:12.776,0.0
16,2025-11-23 21:48:12.781,0.0
16,2025-11-23 21:48:12.786,0.0
17,2025-11-23 21:48:12.996,0.0
17,2025-11-23 21:48:13.001,0.0
17,2025-11-23 21:48:13.007,0.0
17,2025-11-23 21:48:13.013,0.0
17,2025-11-23 21:48:13.018,0.0
17,2025-11-23 21:48:13.023,0.0
17,2025-11-23 21:48:13.028,0.0
17,2025-11-23 21:48:13.033,0.0
17,2025-11-23 21:48:13.039,0.0
17,2025-11-23 21:48:13.045,0.0
18,2025-11-23 21:48:13.278,0.0
18,2025-11-23 21:48:13.283,0.0
18,2025-11-23 21:48:13.288,0.0
18,2025-11-23 21:48:13.293,0.0
18,2025-11-23 21:48:13.298,0.0
18,2025-11-23 21:48:13.303,0.0
18,2025-11-23 21:48:13.308,0.0
18,2025-11-23 21:48:13.313,0.0
18,2025-11-23 21:48:13.318,0.0
18,2025-11-23 21:48:13.323,0.0
19,2025-11-23 21:48:13.551,0.0
19,2025-11-23 21:48:13.556,0.0
19,2025-11-23 21:48:13.561,0.0
19,2025-11-23 21:48:13.566,0.0
19,2025-11-23 21:48:13.571,0.0
19,2025-11-23 21:48:13.576,0.0
19,2025-11-23 21:48:13.582,0.0
19,2025-11-23 21:48:13.587,0.0
19,2025-11-23 21:48:13.592,0.0
19,2025-11-23 21:48:13.597,0.0
20,2025-11-23 21:48:13.822,0.0
20,2025-11-23 21:48:13.827,0.0
20,2025-11-23 21:48:13.832,0.0
20,2025-11-23 21:48:13.837,0.0
20,2025-11-23 21:48:13.845,0.0
20,2025-11-23 21:48:13.850,0.0
20,2025-11-23 21:48:13.855,0.0
20,2025-11-23 21:48:13.863,0.0
20,2025-11-23 21:48:13.872,0.0
20,2025-11-23 21:48:13.902,0.0
21,2025-11-23 21:48:14.117,0.0
21,2025-11-23 21:48:14.122,0.0
21,2025-11-23 21:48:14.127,0.0
21,2025-11-23 21:48:14.132,0.0
21,2025-11-23 21:48:14.137,0.0
21,2025-11-23 21:48:14.142,0.0
21,2025-11-23 21:48:14.147,0.0
21,2025-11-23 21:48:14.152,0.0
21,2025-11-23 21:48:14.159,0.0
21,2025-11-23 21:48:14.164,0.0
22,2025-11-23 21:48:14.376,0.0
22,2025-11-23 21:48:14.381,0.0
22,2025-11-23 21:48:14.386,0.0
22,2025-11-23 21:48:14.391,0.0
22,2025-11-23 21:48:14.396,0.0
22,2025-11-23 21:48:14.401,0.0
22,2025-11-23 21:48:14.406,0.0
22,2025-11-23 21:48:14.411,0.0
22,2025-11-23 21:48:14.416,0.0
22,2025-11-23 21:48:14.421,0.0
23,2025-11-23 21:48:14.639,0.0
23,2025-11-23 21:48:14.644,0.0
23,2025-11-23 21:48:14.649,0.0
23,2025-11-23 21:48:14.654,0.0
23,2025-11-23 21:48:14.659,0.0
23,2025-11-23 21:48:14.664,0.0
23,2025-11-23 21:48:14.669,0.0
23,2025-11-23 21:48:14.674,0.0
23,2025-11-23 21:48:14.679,0.0
23,2025-11-23 21:48:14.684,0.0
24,2025-11-23 21:48:14.903,0.0
24,2025-11-23 21:48:14.909,0.0
24,2025-11-23 21:48:14.915,0.0
24,2025-11-23 21:48:14.945,0.0
24,2025-11-23 21:48:14.951,0.0
24,2025-11-23 21:48:14.956,0.0
24,2025-11-23 21:48:14.961,0.0
24,2025-11-23 21:48:14.966,0.0
24,2025-11-23 21:48:14.971,0.0
24,2025-11-23 21:48:14.976,0.0
25,2025-11-23 21:48:15.206,0.0
25,2025-11-23 21:48:15.211,0.0
25,2025-11-23 21:48:15.216,0.0
25,2025-11-23 21:48:15.221,0.0
25,2025-11-23 21:48:15.226,0.0
25,2025-11-23 21:48:15.231,0.0
25,2025-11-23 21:48:15.236,0.0
25,2025-11-23 21:48:15.241,0.0
25,2025-11-23 21:48:15.246,0.0
25,2025-11-23 21:48:15.251,0.0
26,2025-11-23 21:48:15.467,0.0
26,2025-11-23 21:48:15.473,0.0
26,2025-11-23 21:48:15.479,0.0
26,2025-11-23 21:48:15.485,0.0
26,2025-11-23 21:48:15.490,0.0
26,2025-11-23 21:48:15.495,0.0
26,2025-11-23 21:48:15.500,0.0
26,2025-11-23 21:48:15.505,0.0
26,2025-11-23 21:48:15.511,0.0
26,2025-11-23 21:48:15.516,0.0
27,2025-11-23 21:48:15.743,0.0
27,2025-11-23 21:48:15.749,0.0
27,2025-11-23 21:48:15.755,0.0
27,2025-11-23 21:48:15.760,0.0
27,2025-11-23 21:48:15.765,0.0
27,2025-11-23 21:48:15.770,0.0
27,2025-11-23 21:48:15.775,0.0
27,2025-11-23 21:48:15.780,0.0
27,2025-11-23 21:48:15.785,0.0
27,2025-11-23 21:48:15.790,0.0
28,2025-11-23 21:48:16.008,0.0
28,2025-11-23 21:48:16.013,0.0
28,2025-11-23 21:48:16.018,0.0
28,2025-11-23 21:48:16.024,0.0
28,2025-11-23 21:48:16.029,0.0
28,2025-11-23 21:48:16.034,0.0
28,2025-11-23 21:48:16.040,0.0
28,2025-11-23 21:48:16.046,0.0
28,2025-11-23 21:48:16.051,0.0
28,2025-11-23 21:48:16.056,0.0
29,2025-11-23 21:48:16.286,0.0
29,2025-11-23 21:48:16.291,0.0
29,2025-11-23 21:48:16.296,0.0
29,2025-11-23 21:48:16.301,0.0
29,2025-11-23 21:48:16.306,0.0
29,2025-11-23 21:48:16.308,0.0
29,2025-11-23 21:48:16.310,0.0
29,2025-11-23 21:48:16.312,0.0
29,2025-11-23 21:48:16.314,0.0
29,2025-11-23 21:48:16.343,0.0
30,2025-11-23 21:48:16.575,0.0
30,2025-11-23 21:48:16.580,0.0
30,2025-11-23 21:48:16.585,0.0
30,2025-11-23 21:48:16.590,0.0
30,2025-11-23 21:48:16.595,0.0
30,2025-11-23 21:48:16.600,0.0
30,2025-11-23 21:48:16.605,0.0
30,2025-11-23 21:48:16.610,0.0
30,2025-11-23 21:48:16.615,0.0
30,2025-11-23 21:48:16.620,0.0
31,2025-11-23 21:48:16.851,0.0
31,2025-11-23 21:48:16.856,0.0
31,2025-11-23 21:48:16.861,0.0
31,2025-11-23 21:48:16.866,0.0
31,2025-11-23 21:48:16.871,0.0
31,2025-11-23 21:48:16.876,0.0
31,2025-11-23 21:48:16.881,0.0
31,2025-11-23 21:48:16.886,0.0
31,2025-11-23 21:48:16.891,0.0
31,2025-11-23 21:48:16.896,0.0
32,2025-11-23 21:48:17.127,0.0
32,2025-11-23 21:48:17.132,0.0
32,2025-11-23 21:48:17.137,0.0
32,2025-11-23 21:48:17.142,0.0
32,2025-11-23 21:48:17.147,0.0
32,2025-11-23 21:48:17.152,0.0
32,2025-11-23 21:48:17.157,0.0
32,2025-11-23 21:48:17.162,0.0
32,2025-11-23 21:48:17.167,0.0
32,2025-11-23 21:48:17.172,0.0
33,2025-11-23 21:48:17.387,0.0
33,2025-11-23 21:48:17.392,0.0
33,2025-11-23 21:48:17.397,0.0
33,2025-11-23 21:48:17.402,0.0
33,2025-11-23 21:48:17.407,0.0
33,2025-11-23 21:48:17.412,0.0
33,2025-11-23 21:48:17.417,0.0
33,2025-11-23 21:48:17.422,0.0
33,2025-11-23 21:48:17.427,0.0
33,2025-11-23 21:48:17.432,0.0
34,2025-11-23 21:48:17.649,0.0
34,2025-11-23 21:48:17.654,0.0
34,2025-11-23 21:48:17.659,0.0
34,2025-11-23 21:48:17.664,0.0
34,2025-11-23 21:48:17.669,0.0
34,2025-11-23 21:48:17.674,0.0
34,2025-11-23 21:48:17.679,0.0
34,2025-11-23 21:48:17.684,0.0
34,2025-11-23 21:48:17.689,0.0
34,2025-11-23 21:48:17.694,0.0
