V_set,V_tp,I_in,P_in,V_out,P_out,PWM,Duty,Deadtime
0.45,0.23173233333333335,0.06652509,0.029936290499999997,1.73604,0.006027669763200001,31000,850,250
0.45,0.10670733333333333,0.09606280666666667,0.043228263,0.21267333333333335,9.045989342222224e-05,31000,900,250
0.45,0.23636733333333335,0.06607423666666667,0.029733406500000004,1.0480566666666666,0.0021968455530888887,32000,800,250
0.45,0.22878933333333332,0.06724968333333332,0.030262357499999996,1.5501766666666665,0.004806095395755555,32000,850,250
0.45,0.232231,0.06836473666666666,0.0307641315,1.6218766666666664,0.005260967843755554,32000,900,250
0.45,0.24050333333333332,0.06374079333333334,0.028683357000000003,1.2886566666666666,0.003321272009088888,33000,800,250
0.45,0.2239433333333333,0.06997761666666667,0.0314899275,1.5861533333333335,0.005031764793688891,30000,800,250
0.45,0.24407800000000002,0.06269685333333333,0.028213584,1.5237633333333331,0.004643709392022221,30000,850,250
0.45,0.14187666666666665,0.08173876000000001,0.036782442000000005,0.8786733333333334,0.0015441336534222226,30000,900,250
0.45,0.157495,0.08320537333333333,0.037442418,0.61732,0.0007621679647999999,31000,800,250
0.45,0.23604733333333336,0.06553884,0.029492478000000003,1.3240766666666666,0.0035063580384222214,31000,850,250
0.45,0.22263166666666667,0.06895782666666667,0.031031022000000002,1.7985999999999998,0.006469923919999999,31000,900,250
0.45,0.241351,0.06293569333333333,0.028321062,1.21127,0.0029343500258000002,32000,800,250
0.45,0.229375,0.06753816666666668,0.030392175000000004,1.6591333333333333,0.005505446835555555,32000,850,250
0.45,0.24246633333333334,0.06700546333333333,0.0301524585,1.3636033333333335,0.0037188281013555567,32000,900,250
