V_set,V_tp,I_in,P_in,V_out,P_out,Load,PWM,Duty,Deadtime
0.45,0.24446099999999998,0.06274381,0.0282347145,1.177118,0.0013856067859240003,1000,35500,810,250
0.45,0.23982679999999998,0.06416319799999999,0.028873439099999995,1.269238,0.0016109651006440003,1000,35500,820,250
0.45,0.23979520000000001,0.06417769200000001,0.028879961400000004,1.268828,0.0016099244935840003,1000,35500,830,250
0.45,0.23421319999999998,0.06586436999999998,0.029638966499999992,1.374958,0.0018905095017639998,1000,35500,840,250
0.45,0.22715900000000003,0.06801237600000001,0.030605569200000005,1.494206,0.002232651570436,1000,35500,850,250
0.45,0.2460062,0.06228893,0.0280300185,1.1664059999999998,0.0013605029568359997,1000,36000,800,250
0.45,0.24149220000000002,0.063654376,0.0286444692,1.258734,0.001584411282756,1000,36000,810,250
0.45,0.2414898,0.063659206,0.0286466427,1.258668,0.0015842451342239997,1000,36000,820,250
0.45,0.235996,0.065326566,0.029396954700000002,1.3655080000000002,0.0018646120980640004,1000,36000,830,250
0.45,0.23598080000000002,0.065325762,0.029396592899999997,1.364888,0.0018629192525440005,1000,36000,840,250
0.45,0.2289882,0.067446388,0.030350874599999998,1.486324,0.002209159032976,1000,36000,850,250
0.45,0.2476502,0.061787356,0.0278043102,1.156054,0.0013364608509159998,1000,36500,800,250
0.45,0.24319419999999997,0.063139118,0.0284126031,1.248428,0.0015585724711840003,1000,36500,810,250
0.45,0.2431948,0.063151194,0.028418037299999997,1.2487160000000002,0.0015592916486560004,1000,36500,820,250
0.45,0.23776040000000004,0.064805662,0.029162547900000002,1.35467,0.0018351308089,1000,36500,830,250
0.45,0.23771579999999998,0.064795198,0.0291578391,1.3542919999999998,0.0018341068212639996,1000,36500,840,250
0.45,0.2308496,0.066877178,0.030094730099999998,1.476334,0.002179562079556,1000,36500,850,250
0.45,0.2476086,0.061813924,0.0278162658,1.1561379999999999,0.0013366550750439998,1000,37000,800,250
0.45,0.2432114,0.063141534,0.0284136903,1.2481579999999999,0.0015578983929639997,1000,37000,810,250
0.45,0.2431514,0.06316809999999999,0.028425644999999996,1.248522,0.0015588071844839996,1000,37000,820,250
0.45,0.23772879999999996,0.06480244199999999,0.029161098899999995,1.355352,0.0018369790439039997,1000,37000,830,250
0.45,0.23772500000000002,0.0648113,0.029165085,1.3552019999999998,0.0018365724608039994,1000,37000,840,250
0.45,0.2308708,0.06688764999999999,0.030099442499999997,1.4771699999999999,0.0021820312089,1000,37000,850,250
0.45,0.2492142,0.061321204000000004,0.027594541800000004,1.1454060000000001,0.0013119549048360003,1000,37500,800,250
0.45,0.24483799999999997,0.062655252,0.0281948634,1.236786,0.001529639609796,1000,37500,810,250
0.45,0.2448198,0.062648008,0.028191603600000004,1.236858,0.001529817712164,1000,37500,820,250
0.45,0.23945120000000003,0.06427672000000001,0.028924524000000004,1.34322,0.0018042399684000002,1000,37500,830,250
0.45,0.23267260000000003,0.06634099,0.029853445500000002,1.466552,0.002150774768704,1000,37500,840,250
0.45,0.232647,0.066351458,0.0298581561,1.464896,0.002145920290816,1000,37500,850,250
0.45,0.24640179999999998,0.06216253199999999,0.027973139399999996,1.224838,0.0015002281262440002,1000,38000,800,250
0.45,0.24645539999999996,0.062144016,0.0279648072,1.224914,0.0015004143073960002,1000,38000,810,250
0.45,0.2411612,0.063751794,0.0286883073,1.331318,0.001772407617124,1000,38000,820,250
0.45,0.24115539999999996,0.063758236,0.0286912062,1.331166,0.001772002919556,1000,38000,830,250
0.45,0.23455239999999997,0.065762926,0.0295933167,1.454434,0.002115378260356,1000,38000,840,250
0.45,0.2344944,0.065783054,0.029602374299999998,1.455058,0.002117193783364,1000,38000,850,250
0.45,0.24806460000000002,0.061660154,0.0277470693,1.212668,0.0014705636782240002,1000,38500,800,250
0.45,0.24813420000000003,0.061640832,0.0277383744,1.2130480000000001,0.0014714854503040003,1000,38500,810,250
0.45,0.24291480000000001,0.063219626,0.0284488317,1.3202279999999997,0.0017430019719839992,1000,38500,820,250
0.45,0.24291240000000003,0.06323975,0.0284578875,1.3191739999999998,0.0017402200422759998,1000,38500,830,250
0.45,0.23637919999999996,0.065209024,0.029344060800000002,1.443708,0.002084292789264,1000,38500,840,250
