V_set,V_tp,I_in,P_in,V_out,P_out,Load,PWM,Duty,Deadtime,ADC_V_out,ADC_VCC,V_motor,ADC_Vmotor,error,V_VCC,ADC_VCC
0.35,1.921793333,0.050433867,0.017651853,1.073633333,0.002305377,2000,37000,850,3,1444,1926,0.919026667,1274,0.354973333,1.921793333,1926
0.35,1.860423333,0.05125775,0.017940212,1.051246667,0.002210239,2000,37000,850,4,1461,1865,0.93307,1288,0.35493,1.860423333,1865
0.35,1.817036667,0.051950133,0.018182547,1.035293333,0.002143665,2000,37000,850,5,1474,1821,1.047686667,1402,0.354313333,1.817036667,1821
0.35,1.857463333,0.05210713,0.018237496,0.917386667,0.001683197,2000,38000,850,0,1277,1858,1.074453333,1428,0.353546667,1.857463333,1858
0.35,2.136933333,0.047748867,0.016712103,1.13704,0.00258572,2000,38000,850,1,1361,2135,1.07259,1426,0.35341,2.136933333,2135
0.35,2.02325,0.048967243,0.017138535,1.102503333,0.002431027,2000,38000,850,2,1396,2029,1.06763,1421,0.35337,2.02325,2029
0.35,1.944636667,0.049973617,0.017490766,1.075563333,0.002313673,2000,38000,850,3,1428,1947,0.907776667,1261,0.353223333,1.944636667,1947
0.35,1.890953333,0.05080019,0.017780067,1.05561,0.002228625,2000,38000,850,4,1451,1893,1.075563333,1428,0.352436667,1.890953333,1893
0.35,1.840903333,0.05152746,0.018034611,1.03896,0.002158876,2000,38000,850,5,1459,1844,1.05262,1405,0.35238,1.840903333,1844
0.35,1.834463333,0.052478817,0.018367586,0.92568,0.001713767,2000,39000,850,0,1305,1834,0.932523333,1284,0.351476667,1.834463333,1834
0.35,2.102323333,0.048376843,0.016931895,1.154043333,0.002663632,2000,39000,850,1,1409,2097,0.919903333,1271,0.351096667,2.102323333,2097
0.35,1.988436667,0.049563023,0.017347058,1.10956,0.002462247,2000,39000,850,2,1437,1990,0.927383333,1278,0.350616667,1.988436667,1990
0.35,1.901586667,0.050519743,0.01768191,1.074403333,0.002308685,500,39000,850,3,1461,1906,1.050463333,1400,0.349536667,1.901586667,1906
0.35,1.849073333,0.051310083,0.017958529,1.053296667,0.002218868,500,39000,850,4,1474,1854,1.067973333,1415,0.347026667,1.849073333,1854
0.35,1.899543333,0.052375493,0.018331423,0.930206667,0.001730569,500,39000,850,5,148930000,850,0.93236,1278,0.34564,1.899543333,850
0.35,2.151606667,0.048337927,0.016918274,1.116223333,0.002491909,500,30000,850,1,1334,2153,0.937576667,1283,0.345423333,2.151606667,2153
0.35,2.045636667,0.049455673,0.017309486,1.085543333,0.002356809,500,30000,850,2,1360,2051,0.918616667,1263,0.344383333,2.045636667,2051
0.35,1.976086667,0.05039763,0.017639171,1.064533333,0.002266462,500,30000,850,3,1384,1978,1.072663333,1417,0.344336667,1.976086667,1978
0.35,1.922946667,0.051216153,0.017925654,1.047686667,0.002195295,500,30000,850,4,1402,1928,1.06728,1411,0.34372,1.922946667,1928
0.35,1.87967,0.0519716,0.01819006,1.031786667,0.002129167,500,30000,850,5,1420,1883,1.071373333,1415,0.343626667,1.87967,1883
0.35,1.88156,0.05261166,0.018414081,0.936853333,0.001755388,500,31000,850,0,1279,1881,1.069273333,1412,0.342726667,1.88156,1881
0.35,2.141136667,0.04860495,0.017011732,1.13144,0.002560313,500,31000,850,1,1351,2137,0.92052,1263,0.34248,2.141136667,2137
0.35,2.03937,0.049742827,0.017409989,1.098286667,0.002412467,500,31000,850,2,1385,2043,1.101623333,1444,0.342376667,2.03937,2043
0.35,1.954723333,0.050708943,0.01774813,1.071373333,0.002295682,500,31000,850,3,1415,1959,0.936853333,1279,0.342146667,1.954723333,1959
0.35,1.900573333,0.051532827,0.018036489,1.050426667,0.002206792,500,31000,850,4,1427,1903,0.920233333,1262,0.341766667,1.900573333,1903
0.35,1.847863333,0.052273517,0.018295731,1.03123,0.002126871,500,31000,850,5,1440,1851,0.927513333,1269,0.341486667,1.847863333,1851
0.35,1.890713333,0.052191663,0.018267082,0.925463333,0.001712965,500,32000,850,0,1260,1890,1.069963333,1411,0.341036667,1.890713333,1890
0.35,2.157176667,0.048036017,0.016812606,1.118806667,0.002503457,500,32000,850,1,1328,2152,1.065326667,1406,0.340673333,2.157176667,2152
0.35,2.050753333,0.049167177,0.017208512,1.088926667,0.002371523,500,32000,850,2,1363,2055,0.931396667,1271,0.339603333,2.050753333,2055
0.35,1.97173,0.050168183,0.017558864,1.065706667,0.002271461,500,32000,850,3,1391,1972,0.917876667,1257,0.339123333,1.97173,1972
0.35,1.911323333,0.051004147,0.017851451,1.04676,0.002191413,500,32000,850,4,1413,1914,1.10705,1446,0.33895,1.911323333,1914
0.35,1.86582,0.051774357,0.018121025,1.02973,0.002120688,500,32000,850,5,1431,1868,0.926616667,1265,0.338383333,1.86582,1868
0.35,1.864666667,0.052352683,0.018323439,0.93307,0.001741239,500,33000,850,0,1288,1866,0.92018,1256,0.33582,1.864666667,1866
0.35,2.11417,0.04842917,0.01695021,1.130933333,0.00255802,500,33000,850,1,1368,2116,0.925463333,1260,0.334536667,2.11417,2116
0.35,2.012173333,0.04956436,0.017347526,1.095983333,0.002402359,500,33000,850,2,1398,2017,1.067173333,1401,0.333826667,2.012173333,2017
0.35,1.930366667,0.050533163,0.017686607,1.065853333,0.002272087,500,33000,850,3,1421,1937,1.073316667,1407,0.333683333,1.930366667,1937
0.35,1.87893,0.051334233,0.017966982,1.04552,0.002186224,500,33000,850,4,1437,1883,0.931573333,1265,0.333426667,1.87893,1883
0.35,1.831146667,0.05207358,0.018225753,1.028533333,0.002115762,500,33000,850,5,1445,1835,1.06604,1399,0.33296,1.831146667,1835
0.35,1.878593333,0.051995757,0.018198515,0.92018,0.001693462,500,34000,850,0,1256,1879,1.063223333,1396,0.332776667,1.878593333,1879
0.35,2.152143333,0.04775289,0.016713511,1.119596667,0.002506993,500,34000,850,1,1333,2143,1.105993333,1438,0.332006667,2.152143333,2143
0.35,2.039516667,0.04892162,0.017122567,1.08851,0.002369708,500,34000,850,2,1371,2046,1.063636667,1395,0.331363333,2.039516667,2046
0.35,1.957426667,0.04992397,0.01747339,1.065326667,0.002269842,500,34000,850,3,1406,1963,1.10956,1437,0.32744,1.957426667,1963
0.35,1.9067,0.050754563,0.017764097,1.048096667,0.002197013,500,34000,850,4,1417,1911,0.930696667,1258,0.327303333,1.9067,1911
0.35,1.863116667,0.05152746,0.018034611,1.03251,0.002132154,500,34000,850,5,1433,1866,1.06309,1390,0.32691,1.863116667,1866
0.35,1.85775,0.052348657,0.01832203,0.9293,0.001727197,500,35000,850,0,1290,1858,0.92419,1251,0.32681,1.85775,1858
0.35,2.118476667,0.04826681,0.016893383,1.137853333,0.00258942,500,35000,850,1,1377,2117,1.065706667,1391,0.325293333,2.118476667,2117
0.35,2.012346667,0.049432863,0.017301502,1.101323333,0.002425826,500,35000,850,2,1402,2019,1.110116667,1435,0.324883333,2.012346667,2019
0.35,1.93252,0.050416417,0.017645746,1.07114,0.002294682,500,35000,850,3,1431,1935,1.065163333,1388,0.322836667,1.93252,1935
0.35,1.874386667,0.051229573,0.017930351,1.049846667,0.002204356,500,35000,850,4,1445,1880,1.102373333,1424,0.321626667,1.874386667,1880
0.35,1.828823333,0.05197563,0.018191471,1.032986667,0.002134123,500,35000,850,5,1461,1831,1.064533333,1384,0.319466667,1.828823333,1831
0.35,1.87039,0.052064193,0.018222468,0.918616667,0.001687713,500,36000,850,0,1263,1871,1.105406667,1424,0.318593333,1.87039,1871
0.35,2.144556667,0.047752893,0.016713513,1.12826,0.002545941,500,36000,850,1,1345,2144,1.108193333,1423,0.314806667,2.144556667,2144
0.35,2.035006667,0.048965903,0.017138066,1.09552,0.002400328,500,36000,850,2,1385,2035,1.068423333,1383,0.314576667,2.035006667,2035
0.35,1.949543333,0.049970933,0.017489827,1.069963333,0.002289643,500,36000,850,3,1411,1953,1.070896667,1383,0.312103333,1.949543333,1953
0.35,1.895806667,0.05081629,0.017785702,1.05072,0.002208025,500,36000,850,4,1432,1898,1.107306667,1419,0.311693333,1.895806667,1898
0.35,1.846283333,0.051552953,0.018043534,1.03439,0.002139925,500,36000,850,5,1446,1850,1.098366667,1410,0.311633333,1.846283333,1850
0.35,1.845073333,0.052376837,0.018331893,0.928086667,0.00172269,500,37000,850,0,1295,1845,1.096846667,1406,0.309153333,1.845073333,1845
0.35,2.11031,0.04834732,0.016921562,1.14528,0.002623333,500,37000,850,1,1393,2107,1.093063333,1399,0.305936667,2.11031,2107
0.35,1.99897,0.049524107,0.017333437,1.105406667,0.002443848,500,37000,850,2,1424,2003,1.10131,1406,0.30469,1.99897,2003
0.35,1.917703333,0.050488883,0.017671109,1.072346667,0.002299855,500,37000,850,3,1446,1918,1.09681,1400,0.30319,1.917703333,1918
0.35,1.861,0.051291297,0.017951954,1.05153,0.002211431,500,37000,850,4,1459,1865,1.095983333,1398,0.302016667,1.861,1865
0.35,1.811316667,0.051983677,0.018194287,1.032986667,0.002134123,500,37000,850,5,1481,1818,1.097093333,1398,0.300906667,1.811316667,1818
0.35,1.854636667,0.052119207,0.018241722,0.91812,0.001685889,500,38000,850,0,1277,1854,1.101323333,1402,0.300676667,1.854636667,1854
0.35,2.135933333,0.047797173,0.016729011,1.1365,0.002583265,500,38000,850,1,1367,2128,1.100426667,1399,0.298573333,2.135933333,2128
0.35,2.018843333,0.049010187,0.017153565,1.100426667,0.002421878,500,38000,850,2,1399,2024,1.095413333,1393,0.297586667,2.018843333,2024
0.35,1.935576667,0.05000583,0.017502041,1.07259,0.002300899,500,38000,850,3,1426,1940,1.102376667,1398,0.295623333,1.935576667,1940
0.35,1.883993333,0.050837757,0.017793215,1.053683333,0.002220497,500,38000,850,4,1443,1887,1.093916667,1388,0.294083333,1.883993333,1887
0.35,1.838546667,0.051546247,0.018041186,1.038133333,0.002155442,500,38000,850,5,1457,1844,1.102503333,1396,0.293496667,1.838546667,1844
0.35,1.835296667,0.052544567,0.018390598,0.925653333,0.001713668,500,39000,850,0,1300,1834,1.09684,1390,0.29316,1.835296667,1834
0.35,2.10971,0.04839026,0.016936591,1.155073333,0.002668389,500,39000,850,1,1409,2103,1.09937,1391,0.29163,2.10971,2103
0.35,1.988416667,0.049579123,0.017352693,1.110116667,0.002464718,500,39000,850,2,1435,1995,1.09552,1385,0.28948,1.988416667,1995
0.35,1.907496667,0.050539873,0.017688956,1.07564,0.002314003,500,39000,850,3,1459,1909,1.098286667,1385,0.286713333,1.907496667,1909
0.35,1.850316667,0.05130337,0.01795618,1.05391,0.002221453,500,39000,850,4,1470,1856,1.08851,1371,0.28249,1.850316667,1856
0.35,1.81197,0.05183474,0.018142159,1.038116667,0.002155372,500,39000,850,5,1485,1814,1.08692,1369,0.28208,1.81197,1814
0.35,1.843013333,0.05234329,0.018320151,0.91886,0.001688607,500,40000,850,0,1288,1841,1.097393333,1379,0.281606667,1.843013333,1841
0.35,2.12095,0.048006497,0.016802274,1.149013333,0.002640463,500,40000,850,1,1387,2121,1.0894,1371,0.2816,2.12095,2121
0.35,2.000043333,0.049230247,0.017230586,1.108193333,0.002456185,500,40000,850,2,1423,2009,1.08668,1365,0.27832,2.000043333,2009
0.35,1.916676667,0.050215147,0.017575301,1.075006667,0.002311279,500,40000,850,3,1446,1920,1.08946,1367,0.27754,1.916676667,1920
0.35,1.862093333,0.05101488,0.017855208,1.053446667,0.0022195,500,40000,850,4,1463,1864,1.085543333,1360,0.274456667,1.862093333,1864
0.35,1.819676667,0.051586497,0.018055274,1.037486667,0.002152757,500,40000,850,5,1477,1824,1.088926667,1363,0.274073333,1.819676667,1824
0.35,1.850953333,0.051980993,0.018193348,0.907776667,0.001648117,500,41000,850,0,1261,1851,1.08809,1361,0.27291,1.850953333,1851
0.35,2.144316667,0.047465737,0.016613008,1.137013333,0.002585599,500,41000,850,1,1356,2138,1.087076667,1356,0.268923333,2.144316667,2138
0.35,2.024996667,0.048696197,0.017043669,1.102376667,0.002430469,500,41000,850,2,1398,2028,1.15007,1418,0.26793,2.024996667,2028
0.35,1.94067,0.04973075,0.017405762,1.074453333,0.0023089,500,41000,850,3,1428,1940,1.087956667,1354,0.266043333,1.94067,1940
0.35,1.88113,0.050558657,0.01769553,1.054386667,0.002223462,500,41000,850,4,1443,1884,1.15807,1420,0.26193,1.88113,1884
0.35,1.839143333,0.05116382,0.017907337,1.037913333,0.002154528,500,41000,850,5,1462,1839,1.091693333,1352,0.260306667,1.839143333,1839
