Time,DMM_Meas1,Stimulus_Outer_Value,Stimulus_Inner_Value,Stimulus_Step
2026-01-30 12:22:08.853,1.5641,8500.0,80.0,80
2026-01-30 12:22:09.872,0.8472,9000.0,40.0,81
2026-01-30 12:22:10.889,1.037,9000.0,50.0,82
2026-01-30 12:22:11.912,1.2116,9000.0,60.0,83
2026-01-30 12:22:12.927,1.3706,9000.0,70.0,84
2026-01-30 12:22:13.952,1.517,9000.0,80.0,85
2026-01-30 12:22:14.969,0.8273,9500.0,40.0,86
2026-01-30 12:22:15.991,1.0131,9500.0,50.0,87
2026-01-30 12:22:17.007,1.1878,9500.0,60.0,88
2026-01-30 12:22:18.032,1.3484,9500.0,70.0,89
2026-01-30 12:22:19.048,1.4954,9500.0,80.0,90
2026-01-30 12:22:20.069,0.8061,10000.0,40.0,91
2026-01-30 12:22:21.094,0.9855,10000.0,50.0,92
2026-01-30 12:22:22.120,1.1617,10000.0,60.0,93
2026-01-30 12:22:23.138,1.3361,10000.0,70.0,94
2026-01-30 12:22:24.160,1.4949,10000.0,80.0,95
