V_set,V_tp,I_in,P_in,V_out,P_out,Load,PWM,Duty,Deadtime,ADC_V_out,ADC_VCC
0.35,2.1472133333333336,0.04776362666666666,0.01671726933333333,1.1193333333333333,0.002505814222222222,500,34000,850,1,1336,2142
0.35,2.0432133333333335,0.04891491333333333,0.017120219666666665,1.0894000000000001,0.002373584720000001,500,34000,850,2,1371,2046
0.35,1.9631566666666664,0.04990518333333333,0.017466814166666664,1.0671733333333333,0.0022777178467555553,500,34000,850,3,1401,1968
0.35,1.9116566666666666,0.05076127,0.0177664445,1.0499166666666666,0.0022046500138888886,500,34000,850,4,1417,1915
0.35,1.8668266666666666,0.05151806666666667,0.01803132333333333,1.0339566666666669,0.00213813277708889,500,34000,850,5,1431,1869
0.35,1.8589133333333334,0.052333899999999996,0.018316864999999998,0.9288966666666667,0.001725698034688889,500,35000,850,0,1286,1860
0.35,2.1168766666666667,0.04827889,0.0168976115,1.13767,0.0025885860577999995,500,35000,850,1,1373,2119
0.35,2.0122166666666668,0.04943554333333333,0.017302440166666665,1.10131,0.0024257674322000003,500,35000,850,2,1406,2016
0.35,1.9339700000000002,0.05041910333333333,0.017646686166666665,1.0717999999999999,0.0022975104799999994,500,35000,850,3,1429,1936
0.35,1.87946,0.05123494000000001,0.017932229,1.05218,0.0022141655047999997,500,35000,850,4,1446,1883
0.35,1.8356200000000003,0.05194745,0.0181816075,1.0362333333333333,0.0021475590422222225,500,35000,850,5,1461,1840
0.35,1.8746099999999999,0.052115180000000004,0.018240313,0.9178766666666666,0.0016849951504222219,500,36000,850,0,1257,1876
0.35,2.15739,0.047708610000000005,0.0166980135,1.12985,0.0025531220450000004,500,36000,850,1,1343,2149
0.35,2.04171,0.048916256666666665,0.01712068983333333,1.0973933333333334,0.002408544256088889,500,36000,850,2,1379,2047
0.35,1.9588566666666667,0.04992129000000001,0.0174724515,1.0733166666666667,0.002304017333888889,500,36000,850,3,1407,1964
0.35,1.90399,0.050773349999999995,0.017770672499999998,1.0543466666666665,0.0022232937870222216,500,36000,850,4,1428,1908
0.35,1.8554566666666668,0.05152343,0.0180332005,1.0381066666666667,0.0021553309027555556,500,36000,850,5,1451,1860
0.35,1.8501366666666668,0.052445269999999995,0.018355844499999996,0.9273833333333332,0.0017200796938888884,500,37000,850,0,1278,1851
0.35,2.122096666666667,0.048272176666666666,0.01689526183333333,1.1476533333333334,0.0026342163470222226,500,37000,850,1,1389,2115
0.35,2.0046199999999996,0.04944493666666667,0.017305727833333333,1.1073066666666667,0.002452256108088889,500,37000,850,2,1419,2011
0.35,1.9217933333333335,0.05043386666666667,0.017651853333333332,1.0736333333333332,0.0023053770688888885,500,37000,850,3,1444,1926
0.35,1.8604233333333333,0.05125775,0.017940212499999997,1.0512466666666667,0.0022102391083555556,500,37000,850,4,1461,1865
0.35,1.8170366666666666,0.051950133333333336,0.018182546666666667,1.0352933333333334,0.002143664572088889,500,37000,850,5,1474,1821
0.35,1.8574633333333335,0.05210713,0.0182374955,0.9173866666666667,0.0016831965923555555,500,38000,850,0,1277,1858
0.35,2.1369333333333334,0.04774886666666667,0.016712103333333332,1.13704,0.0025857199232,500,38000,850,1,1361,2135
0.35,2.0232499999999995,0.04896724333333333,0.017138535166666663,1.1025033333333334,0.0024310272000222224,500,38000,850,2,1396,2029
0.35,1.9446366666666666,0.049973616666666665,0.01749076583333333,1.0755633333333334,0.002313672968022223,500,38000,850,3,1428,1947
0.35,1.8909533333333333,0.05080019,0.0177800665,1.05561,0.0022286249442,500,38000,850,4,1451,1893
0.35,1.8409033333333333,0.051527460000000004,0.018034611,1.03896,0.002158875763200001,500,38000,850,5,1459,1844
0.35,1.8344633333333331,0.05247881666666667,0.018367585833333335,0.92568,0.0017137669247999998,500,39000,850,0,1305,1834
0.35,2.1023233333333335,0.048376843333333336,0.016931895166666665,1.1540433333333333,0.0026636320304222224,500,39000,850,1,1409,2097
0.35,1.9884366666666669,0.049563023333333324,0.01734705816666666,1.10956,0.0024622467872,500,39000,850,2,1437,1990
0.35,1.9015866666666668,0.05051974333333334,0.01768191016666667,1.0744033333333334,0.0023086850453555557,500,39000,850,3,1461,1906
0.35,1.8490733333333331,0.05131008333333333,0.017958529166666664,1.0532966666666665,0.0022188677360222217,500,39000,850,4,1474,1854
0.35,1.8995433333333331,0.052375493333333335,0.018331422666666666,0.9302066666666665,0.0017305688854222217,500,39000,850,5,148930000,850
0.35,2.1516066666666664,0.04833792666666667,0.016918274333333334,1.1162233333333333,0.0024919090597555556,500,30000,850,1,1334,2153
0.35,2.0456366666666668,0.04945567333333333,0.017309485666666666,1.0855433333333335,0.0023568086570888895,500,30000,850,2,1360,2051
0.35,1.9760866666666665,0.050397630000000006,0.017639170500000002,1.0645333333333333,0.0022664624355555555,500,30000,850,3,1384,1978
0.35,1.9229466666666666,0.05121615333333333,0.017925653666666663,1.0476866666666667,0.0021952947030222224,500,30000,850,4,1402,1928
0.35,1.87967,0.0519716,0.018190059999999997,1.0317866666666666,0.002129167451022222,500,30000,850,5,1420,1883
0.35,1.8815600000000001,0.05261166,0.018414081,0.9368533333333332,0.001755388336355555,500,31000,850,0,1279,1881
0.35,2.1411366666666667,0.04860495,0.017011732499999998,1.13144,0.0025603129471999998,500,31000,850,1,1351,2137
0.35,2.03937,0.04974282666666666,0.01740998933333333,1.0982866666666666,0.0024124672043555557,500,31000,850,2,1385,2043
0.35,1.9547233333333331,0.05070894333333333,0.017748130166666664,1.0713733333333335,0.0022956816387555566,500,31000,850,3,1415,1959
0.35,1.9005733333333332,0.05153282666666667,0.018036489333333332,1.0504266666666668,0.0022067923640888896,500,31000,850,4,1427,1903
0.35,1.8478633333333334,0.052273516666666665,0.018295730833333333,1.03123,0.0021268706258000007,500,31000,850,5,1440,1851
0.35,1.8907133333333335,0.05219166333333333,0.018267082166666664,0.9254633333333334,0.001712964762688889,500,32000,850,0,1260,1890
0.35,2.1571766666666665,0.04803601666666666,0.01681260583333333,1.1188066666666667,0.0025034567147555558,500,32000,850,1,1328,2152
0.35,2.050753333333333,0.049167176666666666,0.017208511833333332,1.0889266666666666,0.0023715225707555553,500,32000,850,2,1363,2055
0.35,1.97173,0.05016818333333333,0.017558864166666664,1.0657066666666666,0.0022714613987555553,500,32000,850,3,1391,1972
0.35,1.9113233333333335,0.051004146666666667,0.01785145133333333,1.04676,0.0021914129951999995,500,32000,850,4,1413,1914
0.35,1.86582,0.05177435666666667,0.018121024833333332,1.02973,0.0021206877458000003,500,32000,850,5,1431,1868
0.35,1.8646666666666667,0.05235268333333334,0.018323439166666667,0.93307,0.0017412392497999998,500,33000,850,0,1288,1866
0.35,2.1141699999999997,0.04842917,0.0169502095,1.1309333333333333,0.0025580204088888887,500,33000,850,1,1368,2116
0.35,2.012173333333333,0.049564359999999995,0.017347526,1.0959833333333335,0.0024023589338888897,500,33000,850,2,1398,2017
0.35,1.9303666666666668,0.05053316333333333,0.017686607166666667,1.0658533333333333,0.0022720866563555554,500,33000,850,3,1421,1937
0.35,1.8789299999999998,0.05133423333333333,0.017966981666666666,1.04552,0.0021862241407999998,500,33000,850,4,1437,1883
0.35,1.8311466666666665,0.05207358,0.018225753,1.0285333333333335,0.0021157616355555564,500,33000,850,5,1445,1835
0.35,1.8785933333333331,0.05199575666666666,0.018198514833333332,0.9201799999999999,0.0016934624647999997,500,34000,850,0,1256,1879
0.35,2.1521433333333335,0.04775288999999999,0.016713511499999997,1.1195966666666666,0.002506993392022222,500,34000,850,1,1333,2143
0.35,2.039516666666667,0.04892162,0.017122566999999998,1.08851,0.0023697080402000003,500,34000,850,2,1371,2046
0.35,1.9574266666666666,0.049923970000000005,0.017473389500000002,1.0653266666666668,0.0022698418134222227,500,34000,850,3,1406,1963
0.35,1.9067,0.050754563333333336,0.017764097166666666,1.0480966666666667,0.0021970132453555556,500,34000,850,4,1417,1911
0.35,1.8631166666666665,0.05152746,0.018034611,1.03251,0.0021321538002000004,500,34000,850,5,1433,1866
0.35,1.85775,0.05234865666666666,0.01832202983333333,0.9293,0.00172719698,500,35000,850,0,1290,1858
0.35,2.1184766666666666,0.04826680999999999,0.016893383499999998,1.1378533333333334,0.0025894204163555558,500,35000,850,1,1377,2117
0.35,2.0123466666666667,0.049432863333333334,0.017301502166666666,1.1013233333333334,0.0024258261690888894,500,35000,850,2,1402,2019
0.35,1.9325200000000002,0.050416416666666665,0.01764574583333333,1.07114,0.0022946817992,500,35000,850,3,1431,1935
0.35,1.8743866666666669,0.051229573333333334,0.017930350666666664,1.0498466666666666,0.002204356047022222,500,35000,850,4,1445,1880
0.35,1.8288233333333332,0.05197563,0.0181914705,1.0329866666666667,0.002134122907022222,500,35000,850,5,1461,1831
0.35,1.8703899999999998,0.052064193333333335,0.018222467666666665,0.9186166666666665,0.0016877131605555552,500,36000,850,0,1263,1871
0.35,2.144556666666667,0.04775289333333333,0.016713512666666666,1.12826,0.0025459412552000004,500,36000,850,1,1345,2144
0.35,2.0350066666666664,0.04896590333333334,0.017138066166666667,1.0955199999999998,0.0024003281407999994,500,36000,850,2,1385,2035
0.35,1.9495433333333334,0.049970933333333335,0.017489826666666666,1.0699633333333334,0.0022896430693555556,500,36000,850,3,1411,1953
0.35,1.8958066666666669,0.05081629000000001,0.0177857015,1.05072,0.0022080250368000003,500,36000,850,4,1432,1898
0.35,1.8462833333333333,0.05155295333333334,0.018043533666666667,1.03439,0.0021399253441999997,500,36000,850,5,1446,1850
0.35,1.8450733333333333,0.05237683666666667,0.018331892833333332,0.9280866666666666,0.001722689721688889,500,37000,850,0,1295,1845
0.35,2.11031,0.04834732,0.016921561999999998,1.1452799999999999,0.0026233325567999993,500,37000,850,1,1393,2107
0.35,1.99897,0.04952410666666667,0.017333437333333333,1.1054066666666666,0.0024438477974222223,500,37000,850,2,1424,2003
0.35,1.917703333333333,0.05048888333333334,0.017671109166666667,1.0723466666666666,0.002299854747022222,500,37000,850,3,1446,1918
0.35,1.861,0.05129129666666667,0.017951953833333336,1.0515299999999999,0.0022114306817999996,500,37000,850,4,1459,1865
0.35,1.8113166666666667,0.051983676666666666,0.018194286833333333,1.0329866666666667,0.002134122907022222,500,37000,850,5,1481,1818
0.35,1.8546366666666667,0.05211920666666667,0.01824172233333333,0.91812,0.0016858886688000002,500,38000,850,0,1277,1854
