header,index,a_x,a_y,a_z,g_x,g_y,g_z,timestamp
DATA,231,39,-15,2080,-4,-3,10,36094
DATA,232,38,-14,2079,-6,-4,9,36719
DATA,233,37,-16,2074,-6,-4,10,37344
DATA,234,37,-15,2078,-5,-4,10,37969
DATA,235,38,-15,2081,-5,-4,9,38594
DATA,236,36,-13,2078,-5,-4,11,39219
DATA,237,37,-13,2074,-5,-4,9,39844
DATA,238,38,-13,2079,-5,-4,9,40469
DATA,239,38,-16,2076,-5,-4,11,41094
DATA,240,37,-12,2076,-5,-4,9,41719
DATA,241,36,-14,2081,-4,-4,10,42344
DATA,242,37,-14,2079,-6,-3,11,42969
DATA,243,35,-14,2074,-5,-3,10,43594
DATA,244,36,-15,2078,-5,-5,10,44219
DATA,245,38,-16,2080,-5,-3,11,44844
DATA,246,37,-13,2073,-6,-5,10,45469
DATA,247,38,-17,2073,-5,-5,10,46094
DATA,248,40,-16,2076,-5,-3,10,46719
DATA,249,37,-14,2075,-6,-4,10,47344
DATA,250,34,-13,2072,-5,-3,11,47969
DATA,251,37,-17,2076,-5,-4,10,48594
DATA,252,37,-13,2078,-5,-4,11,49219
DATA,253,38,-15,2072,-6,-3,10,49844
DATA,254,37,-14,2070,-5,-4,11,50469
DATA,255,37,-15,2075,-6,-4,10,51094
DATA,256,36,-16,2074,-5,-3,10,51719
DATA,257,35,-16,2068,-6,-4,9,52344
DATA,258,37,-15,2074,-5,-4,9,52969
DATA,259,37,-16,2077,-5,-4,10,53594
DATA,260,36,-18,2068,-6,-4,9,54219
DATA,261,38,-16,2073,-5,-4,11,54844
DATA,262,37,-14,2078,-5,-4,11,55469
DATA,263,38,-14,2076,-6,-3,10,56094
DATA,264,36,-15,2071,-5,-3,10,56719
DATA,265,39,-15,2079,-5,-5,11,57344
DATA,266,38,-14,2080,-5,-4,12,57969
DATA,267,35,-13,2071,-5,-3,11,58594
DATA,268,35,-15,2073,-5,-4,10,59219
DATA,269,38,-17,2081,-5,-2,9,59844
DATA,270,36,-15,2077,-6,-3,10,60469
DATA,271,37,-15,2073,-6,-4,10,61094
DATA,272,36,-16,2079,-5,-4,10,61719
DATA,273,37,-14,2076,-6,-3,11,62344
DATA,274,35,-14,2071,-5,-3,10,62969
DATA,275,36,-15,2078,-5,-4,11,63594
DATA,276,39,-14,2082,-5,-5,10,64219
DATA,277,36,-15,2074,-6,-4,11,64844
DATA,278,36,-16,2071,-5,-4,10,65469
DATA,279,38,-13,2079,-4,-4,10,558
DATA,280,36,-12,2081,-5,-3,10,1183
DATA,281,36,-14,2074,-6,-3,11,1808
DATA,282,37,-15,2078,-5,-5,10,2433
DATA,283,40,-14,2080,-5,-3,11,3058
DATA,284,36,-13,2073,-5,-4,11,3683
DATA,285,38,-15,2074,-4,-4,11,4308
DATA,286,37,-14,2081,-5,-3,12,4933
DATA,287,38,-13,2079,-6,-4,10,5558
DATA,288,36,-15,2073,-6,-3,10,6183
DATA,289,35,-16,2077,-5,-4,10,6808
DATA,290,37,-17,2082,-5,-4,11,7433
DATA,291,36,-15,2076,-5,-3,9,8058
DATA,292,36,-14,2076,-4,-4,11,8683
DATA,293,38,-14,2082,-5,-4,9,9308
DATA,294,38,-15,2078,-6,-3,10,9933
DATA,295,35,-16,2073,-5,-4,9,10558
DATA,296,37,-15,2081,-4,-4,10,11183
DATA,297,38,-14,2081,-5,-5,10,11808
DATA,298,36,-13,2075,-6,-3,9,12433
DATA,299,37,-15,2076,-5,-4,10,13058
DATA,300,36,-16,2080,-4,-4,12,13683
DATA,301,37,-13,2077,-6,-5,11,14308
DATA,302,35,-13,2074,-6,-4,9,14933
DATA,303,36,-14,2080,-4,-4,10,15558
DATA,304,36,-14,2081,-5,-3,9,16183
DATA,305,36,-13,2075,-6,-4,9,16808
DATA,306,36,-14,2074,-5,-4,10,17433
DATA,307,37,-14,2081,-5,-4,10,18058
DATA,308,38,-14,2078,-5,-4,12,18683
DATA,309,35,-15,2073,-5,-4,9,19308
DATA,310,37,-15,2079,-6,-5,9,19933
DATA,311,38,-14,2080,-5,-4,10,20558
DATA,312,37,-13,2074,-5,-4,10,21183
DATA,313,40,-14,2078,-5,-5,10,21808
DATA,314,38,-14,2080,-4,-4,11,22433
DATA,315,34,-15,2076,-6,-4,11,23058
DATA,316,36,-14,2075,-5,-4,11,23683
DATA,317,39,-13,2080,-4,-4,11,24308
DATA,318,36,-15,2078,-5,-4,9,24933
DATA,319,36,-14,2074,-6,-4,10,25558
DATA,320,38,-14,2079,-5,-3,10,26183
DATA,321,38,-15,2079,-6,-4,11,26808
DATA,322,37,-15,2074,-6,-3,9,27433
DATA,323,35,-14,2077,-4,-4,9,28058
DATA,324,40,-14,2079,-6,-4,10,28683
DATA,325,40,-14,2076,-6,-4,11,29308
DATA,326,35,-16,2074,-5,-4,10,29933
DATA,327,36,-16,2078,-5,-4,10,30558
DATA,328,37,-14,2079,-5,-3,11,31183
DATA,329,35,-14,2073,-5,-4,10,31808
DATA,330,37,-14,2074,-5,-4,11,32433
DATA,331,37,-16,2081,-5,-4,11,33058
DATA,332,38,-14,2076,-6,-4,8,33683
DATA,333,35,-13,2073,-5,-4,11,34308
DATA,334,37,-14,2080,-4,-4,10,34933
DATA,335,35,-14,2079,-5,-4,10,35558
DATA,336,36,-13,2074,-5,-4,12,36183
DATA,337,37,-15,2075,-5,-4,9,36808
DATA,338,37,-13,2080,-5,-4,10,37433
DATA,339,37,-13,2076,-5,-3,11,38058
DATA,340,36,-14,2073,-5,-3,9,38683
DATA,341,38,-16,2082,-4,-4,11,39308
DATA,342,37,-15,2080,-4,-3,12,39933
DATA,343,37,-13,2076,-6,-5,9,40558
DATA,344,38,-14,2079,-4,-4,10,41183
DATA,345,38,-13,2079,-5,-4,10,41808
DATA,346,35,-13,2076,-6,-4,10,42433
DATA,347,35,-16,2073,-5,-3,10,43058
DATA,348,37,-15,2081,-4,-3,11,43683
DATA,349,38,-16,2078,-6,-3,10,44308
DATA,350,37,-14,2071,-6,-4,10,44933
DATA,351,38,-15,2078,-5,-3,10,45558
DATA,352,39,-13,2082,-6,-3,10,46183
DATA,353,35,-15,2074,-6,-4,10,46808
DATA,354,35,-15,2072,-6,-3,11,47433
DATA,355,38,-13,2081,-6,-3,10,48058
DATA,356,38,-14,2077,-6,-4,11,48683
DATA,357,37,-16,2074,-6,-5,10,49308
DATA,358,37,-12,2078,-5,-5,11,49933
DATA,359,39,-14,2081,-6,-4,10,50558
DATA,360,37,-14,2073,-6,-4,11,51183
DATA,361,38,-14,2075,-4,-5,10,51808
DATA,362,38,-14,2081,-5,-4,11,52433
DATA,363,36,-12,2076,-7,-4,10,53058
DATA,364,37,-13,2072,-5,-3,11,53683
DATA,365,36,-14,2080,-5,-4,10,54308
DATA,366,36,-15,2079,-4,-3,12,54933
DATA,367,36,-14,2070,-5,-4,11,55558
DATA,368,37,-15,2072,-5,-3,9,56183
DATA,369,38,-16,2080,-6,-4,10,56808
DATA,370,36,-15,2073,-6,-3,10,57433
DATA,371,35,-13,2070,-5,-3,10,58058
DATA,372,38,-14,2078,-5,-3,10,58683
DATA,373,38,-14,2078,-6,-3,10,59308
DATA,374,36,-14,2070,-6,-4,10,59933
DATA,375,35,-16,2073,-4,-5,11,60558
DATA,376,39,-16,2079,-5,-4,11,61183
DATA,377,36,-15,2072,-7,-4,11,61808
DATA,378,37,-16,2073,-6,-4,11,62433
DATA,379,36,-14,2078,-4,-3,10,63058
DATA,380,36,-14,2078,-5,-4,10,63683
DATA,381,35,-14,2071,-5,-3,10,64308
DATA,382,40,-14,2074,-5,-4,10,64933
DATA,383,39,-13,2080,-5,-3,11,22
DATA,384,36,-13,2075,-4,-2,10,647
DATA,385,36,-14,2077,-5,-4,11,1272
DATA,386,38,-14,2079,-5,-3,12,1897
DATA,387,37,-16,2077,-6,-4,9,2522
DATA,388,36,-15,2072,-6,-4,9,3147
DATA,389,37,-15,2076,-4,-4,9,3772
DATA,390,37,-14,2081,-5,-3,9,4397
DATA,391,35,-15,2074,-5,-4,10,5022
DATA,392,36,-15,2077,-5,-5,11,5647
DATA,393,36,-15,2079,-4,-5,10,6272
DATA,394,36,-14,2077,-5,-4,11,6897
DATA,395,35,-16,2075,-5,-3,8,7522
DATA,396,37,-15,2081,-5,-4,10,8147
DATA,397,37,-14,2080,-6,-4,10,8772
DATA,398,35,-15,2074,-5,-4,10,9397
DATA,399,35,-15,2078,-5,-4,10,10022
DATA,400,39,-15,2081,-5,-4,10,10647
DATA,401,38,-12,2079,-5,-3,10,11272
DATA,402,35,-13,2075,-6,-5,11,11897
DATA,403,36,-12,2081,-5,-3,11,12522
DATA,404,38,-14,2078,-7,-3,11,13147
DATA,405,35,-15,2071,-6,-4,10,13772
DATA,406,36,-16,2080,-5,-4,9,14397
DATA,407,37,-14,2083,-4,-3,10,15022
DATA,408,35,-16,2075,-6,-4,10,15647
DATA,409,39,-14,2077,-5,-4,11,16272
DATA,410,37,-15,2081,-5,-3,10,16897
DATA,411,35,-14,2079,-6,-2,10,17522
DATA,412,35,-14,2077,-5,-3,9,18147
DATA,413,37,-13,2078,-5,-3,10,18772
DATA,414,39,-16,2082,-6,-3,11,19397
DATA,415,36,-15,2073,-5,-4,10,20022
DATA,416,37,-13,2075,-5,-3,10,20647
DATA,417,37,-15,2079,-5,-3,11,21272
DATA,418,36,-15,2076,-6,-3,9,21897
DATA,419,35,-14,2071,-5,-4,10,22522
DATA,420,37,-12,2076,-4,-3,9,23147
DATA,421,37,-15,2082,-5,-5,11,23772
DATA,422,35,-14,2074,-5,-5,11,24397
DATA,423,36,-15,2078,-5,-4,10,25022
DATA,424,37,-15,2082,-5,-4,11,25647
DATA,425,37,-14,2077,-5,-4,10,26272
DATA,426,36,-16,2073,-5,-4,9,26897
DATA,427,38,-15,2079,-4,-4,11,27522
DATA,428,35,-14,2084,-5,-4,9,28147
DATA,429,36,-15,2074,-5,-4,11,28772
DATA,430,36,-14,2077,-5,-4,9,29397
DATA,431,37,-15,2082,-5,-3,11,30022
DATA,432,37,-15,2076,-6,-4,10,30647
DATA,433,36,-16,2075,-5,-4,10,31272
