a_x,a_y,a_z,g_x,g_y,g_z
1096,-48,1474,311,-2372,-48
1102,-18,0,-344,-3398,-62
1126,23,2397,215,-1871,-21
1061,14,2205,35,-1222,-78
1017,0,1791,89,-954,0
1071,4,1803,63,26,3
964,17,1742,52,-1222,-31
717,-43,1548,93,-954,-205
-34,-14,1748,4,26,219
-719,-46,1757,48,-76,-49
-1324,32,1925,48,-2372,-23
-1638,72,1935,18,-3398,-62
-1559,85,2202,-71,-1871,-21
-1536,80,1787,63,-1222,-114
-1563,4,1711,52,-954,0
-1552,17,1791,93,26,204
-1525,-43,1803,4,-76,-21
-1572,-14,1742,48,-38,-140
-1543,-46,1548,18,-84,-195
-1531,-38,1748,-64,405,0
-1482,72,1757,-196,493,-28
-1595,85,1925,116,2466,-1
-1033,80,1935,0,0,-217
886,-78,2202,-64,3761,-154
991,-48,1798,32,-1939,-22
1455,3,1711,13,147,-16
1913,-6,1294,-20,33,-125
1314,-4,0,122,47,-3
1182,0,1318,0,78,226
1172,29,1273,517,-41,0
517,32,1289,336,-98,-138
144,29,1374,412,-3442,143
116,52,1325,1555,-45,50
90,414,1403,3,-52,55
-243,341,1324,131,-247,209
-510,268,1442,-69,-1668,1009
327,327,2086,150,-4765,-1
-8,111,2207,-71,0,226
48,-29,1403,-1238,3761,0
279,0,1324,-1082,-1899,-138
534,-97,1442,-240,438,143
-54,72,1542,-101,-375,50
370,49,2176,-252,-40,55
-73,-550,2822,0,780,209
131,-151,1865,-596,669,786
190,49,2092,231,669,410
-134,-299,1943,231,586,-1243
-510,-435,1540,412,-138,143
-556,-240,2233,1555,188,50
-373,-88,1542,3,558,-5
-55,-83,2176,131,-533,143
-55,-57,2822,-69,122,50
14,110,1983,150,0,-5
-62,23,2264,133,-342,-92
-116,29,2350,19,-545,36
-129,121,0,-16,30,416
-46,92,2126,-259,-58,-536
-68,348,2349,369,27,-35
-54,-503,2083,768,2,-763
-52,350,1968,0,2,-2543
-57,-503,2036,268,-12,-1668
-55,-134,2042,0,5,-400
-56,0,2105,268,-7,-2
-55,73,2061,61,2,0
-53,64,2056,2,-2,-4
-55,74,2079,-6,2,-1
-53,67,2066,-4,-1,-2
-48,71,2079,-3,1,-2
-53,69,2072,-5,0,0
-54,65,2078,-5,-1,-3
-61,69,0,-3,-1,-4
-51,71,2068,-4,30,-7
-55,69,2073,-5,-58,-2
-58,70,2072,-9,27,-3
-55,71,2070,12,2,-7
-56,61,2064,-42,-12,-2
-60,57,2069,0,5,-4
-47,75,2065,-2,-7,-6
-52,73,2068,-47,2,-4
-61,58,2074,-47,-1,-1
-57,0,2072,1,17,-1
-55,57,2070,-60,-1,-1
-20,65,2064,-4,16,-2
-27,111,2069,-9,0,0
-64,78,2065,-9,13,-3
-38,93,2067,-1,-13,-4
-46,92,2063,10,-13,-2
-52,65,2079,259,3,-3
-49,69,2066,14,0,-2
-41,69,2085,-20,4,-1
-47,71,2073,-19,3,-1
